"proj_id","risk_spectrum","spec_code","proj_retail_type"
"M0000_2553","","SPF","R"
"M0001_2558","","FIF,SPF","H"
"M0003_2558","","SPF","H"
"M0003_2563","","","R"
"M0004_2555","","SPF","R"
"M0004_2563","","","R"
"M0005_2560","","","R"
"M0006_2557","","CPF,SPF","R"
"M0006_2560","","","R"
"M0007_2553","","SPF","R"
"M0007_2554","","GF,SNF,SPF","R"
"M0007_2562","RS4","","R"
"M0008_2537","","","R"
"M0008_2553","","SPF","R"
"M0008_2554","","SPF","R"
"M0008_2557","","SPF","R"
"M0008_2562","RS4","","R"
"M0008_2567","","","R"
"M0009_2543","","","R"
"M0009_2557","","FIF,SPF","H"
"M0010_2555","","CPF","R"
"M0010_2563","","","R"
"M0010_2565","","","B"
"M0010_2566","","","R"
"M0012_2559","","FIF,SPF","H"
"M0013_2544","","",""
"M0013_2564","","","H"
"M0014_2536","","","R"
"M0014_2544","","",""
"M0015_2544","","",""
"M0015_2554","","SPF","R"
"M0015_2565","","","B"
"M0016_2544","","",""
"M0016_2549","","",""
"M0016_2556","","CPF","R"
"M0016_2561","RS4","","R"
"M0017_2538","","","R"
"M0017_2539","","","R"
"M0017_2558","","FIF,SPF","R"
"M0017_2562","RS4","","R"
"M0018_2539","","",""
"M0018_2549","","",""
"M0018_2555","","SPF","R"
"M0018_2556","","SPF","R"
"M0019_2553","","FIF","R"
"M0019_2562","RS4","","R"
"M0020_2552","","FIF,SPF","R"
"M0020_2556","","SPF","R"
"M0021_2538","","","R"
"M0021_2556","","FIF,SPF","R"
"M0022_2538","","","R"
"M0022_2558","","FIF,SPF","H"
"M0022_2566","","","B"
"M0023_2538","","","R"
"M0023_2558","","FIF,SPF","H"
"M0023_2563","","","R"
"M0024_2544","","",""
"M0024_2559","","","H"
"M0024_2564","","","H"
"M0026_2560","","","R"
"M0026_2561","RS4","","R"
"M0026_2563","","FED","X"
"M0026_2565","","","B"
"M0027_2535","","","R"
"M0027_2557","","SPF","R"
"M0027_2560","","","R"
"M0027_2561","RS4","","R"
"M0027_2564","","","R"
"M0028_2537","RS6","","R"
"M0028_2557","","FIF,SPF","H"
"M0028_2564","","","R"
"M0029_2547","","",""
"M0029_2553","","SPF","R"
"M0029_2561","RS4","","R"
"M0029_2566","","","R"
"M0029_2567","","","R"
"M0030_2539","","",""
"M0030_2553","","FIF","R"
"M0030_2559","","","R"
"M0030_2561","RS4","","R"
"M0031_2539","","","R"
"M0031_2553","","FIF","R"
"M0032_2539","","","R"
"M0032_2552","","FIF,SPF","R"
"M0032_2553","","FED,FF","R"
"M0032_2559","","","R"
"M0033_2554","","SPF","R"
"M0033_2555","","CPF","R"
"M0034_2555","","SPF","R"
"M0035_2544","","",""
"M0035_2555","","FIF,SPF","R"
"M0036_2536","RS6","","R"
"M0036_2555","","SPF","R"
"M0036_2558","","FIF,SPF","H"
"M0036_2565","","","R"
"M0037_2536","","","R"
"M0037_2554","","SPF","R"
"M0037_2555","","FIF,SPF","R"
"M0037_2557","","SPF","R"
"M0037_2558","","FIF,SPF","R"
"M0038_2536","RS6","","R"
"M0038_2557","","FIF,SPF","H"
"M0038_2559","","","R"
"M0038_2565","","","B"
"M0039_2564","","","H"
"M0040_2563","","","H"
"M0041_2555","","SPF","R"
"M0041_2556","","SPF","R"
"M0042_2556","","FIF,SPF","R"
"M0042_2567","","","R"
"M0043_2556","","SPF","R"
"M0043_2560","","","R"
"M0044_2552","","FIF,SPF","R"
"M0044_2556","","CPF","R"
"M0044_2559","","","H"
"M0044_2560","","","R"
"M0044_2562","RS4","","R"
"M0044_2566","","","B"
"M0045_2551","","","R"
"M0045_2561","","FED","R"
"M0045_2562","RS4","","R"
"M0045_2565","","FED,RMF","R"
"M0046_2551","","","R"
"M0046_2557","","SPF","R"
"M0046_2562","RS4","","R"
"M0047_2567","","","R"
"M0049_2554","","SPF","R"
"M0050_2555","","CPF","R"
"M0050_2559","","","R"
"M0051_2555","","SPF","R"
"M0051_2564","","","H"
"M0051_2565","","","B"
"M0052_2552","","FIF,SPF","R"
"M0052_2561","RS4","","R"
"M0053_2558","","SPF","R"
"M0053_2561","RS4","","R"
"M0053_2565","","","B"
"M0054_2558","","SPF","H"
"M0054_2560","","SSF","R"
"M0054_2561","RS4","","R"
"M0054_2563","","","H"
"M0054_2565","","","B"
"M0055_2560","","","R"
"M0055_2561","RS4","","R"
"M0056_2557","","SPF","R"
"M0056_2560","","","R"
"M0057_2557","","FIF,SPF","H"
"M0058_2566","","","R"
"M0059_2554","","FED","R"
"M0059_2566","","","B"
"M0060_2544","","",""
"M0060_2562","RS4","","R"
"M0061_2544","","RMF","R"
"M0061_2562","RS4","","R"
"M0062_2544","","RMF","R"
"M0062_2562","RS4","","R"
"M0063_2544","","RMF","R"
"M0063_2564","","","H"
"M0064_2544","","RMF","R"
"M0064_2557","","FIF,SPF","H"
"M0064_2559","","FED","R"
"M0065_2544","","RMF","R"
"M0065_2556","","SPF","R"
"M0065_2564","","","R"
"M0066_2552","","FIF,SPF","R"
"M0066_2555","","CPF","R"
"M0066_2556","","CPF","R"
"M0066_2560","","FED","R"
"M0066_2563","","","H"
"M0067_2564","","","R"
"M0067_2565","","","B"
"M0068_2556","","SPF","R"
"M0068_2558","","FIF,SPF","H"
"M0068_2559","","SPF","H"
"M0069_2545","","",""
"M0069_2548","","",""
"M0069_2551","","","R"
"M0069_2559","","SPF","R"
"M0070_2548","","",""
"M0070_2557","","FED","R"
"M0070_2558","","SPF","R"
"M0070_2565","","","B"
"M0071_2558","","FIF,SPF","H"
"M0072_2549","","",""
"M0072_2557","","SPF","R"
"M0072_2560","","","R"
"M0073_2548","","",""
"M0073_2557","","FIF,SPF","H"
"M0073_2560","","","R"
"M0073_2566","","","R"
"M0074_2553","","SPF","R"
"M0074_2557","","FIF,SPF","H"
"M0074_2558","","FED,IND","R"
"M0074_2559","","SPF","R"
"M0074_2561","RS4","","R"
"M0075_2547","","",""
"M0075_2555","","FIF,SPF","R"
"M0075_2561","RS4","","R"
"M0076_2555","","FIF,SPF","R"
"M0077_2562","RS4","","R"
"M0077_2564","","FED","R"
"M0078_2548","","",""
"M0078_2552","","SPF","R"
"M0078_2562","RS4","","R"
"M0079_2552","","SPF","R"
"M0079_2560","","","R"
"M0079_2562","RS4","","R"
"M0080_2545","","FED","R"
"M0081_2554","","SPF","R"
"M0081_2556","","SPF","R"
"M0082_2556","","FIF,SPF","R"
"M0082_2565","","","B"
"M0083_2563","","","H"
"M0084_2549","","",""
"M0084_2556","","CPF","R"
"M0085_2549","","",""
"M0085_2556","","SPF","R"
"M0085_2564","","","H"
"M0087_2559","","SPF","R"
"M0087_2562","","","A"
"M0087_2566","","","B"
"M0088_2555","","CPF","R"
"M0088_2558","","SPF","R"
"M0088_2560","","","R"
"M0089_2558","","SPF","H"
"M0089_2559","","SPF","H"
"M0089_2560","","","R"
"M0089_2565","","","B"
"M0090_2555","","SPF","R"
"M0091_2555","","FIF,SPF","R"
"M0091_2563","","","H"
"M0092_2562","RS4","","R"
"M0092_2564","","","H"
"M0093_2552","","FIF,SPF","R"
"M0093_2557","","FIF","R"
"M0093_2562","RS4","","R"
"M0093_2567","","","R"
"M0094_2552","","FIF,SPF","R"
"M0094_2562","RS4","","R"
"M0095_2554","","SPF","R"
"M0095_2565","","","B"
"M0096_2557","","FIF,SPF","H"
"M0096_2563","","FED","X"
"M0096_2565","","","B"
"M0097_2553","","FIF","R"
"M0097_2555","","FIF,SPF","R"
"M0097_2559","","SPF","R"
"M0098_2560","","","R"
"M0099_2561","RS4","","R"
"M0100_2564","","","R"
"M0101_2551","","FIF,SPF","R"
"M0101_2552","","FIF,SPF","R"
"M0101_2560","","","R"
"M0101_2562","RS4","","R"
"M0101_2564","","","R"
"M0102_2541","","",""
"M0102_2557","","FIF,SPF","H"
"M0102_2560","","","R"
"M0102_2562","RS4","","R"
"M0102_2564","","","R"
"M0103_2545","","",""
"M0103_2555","","FIF,SPF","R"
"M0103_2562","RS4","","R"
"M0103_2564","","","R"
"M0104_2545","","",""
"M0104_2561","RS4","","R"
"M0105_2557","","CPF,SPF","R"
"M0105_2565","","","B"
"M0106_2553","","FIF","R"
"M0106_2555","","FIF,SPF","R"
"M0106_2556","","SPF","R"
"M0106_2563","","","H"
"M0107_2549","","",""
"M0107_2553","","FIF","R"
"M0107_2556","","CPF","R"
"M0107_2557","","SPF","R"
"M0107_2558","","SPF","H"
"M0107_2566","","","R"
"M0108_2549","","",""
"M0108_2553","","FIF","R"
"M0108_2555","","CPF","R"
"M0108_2556","","FIF,SPF","R"
"M0108_2558","","SPF","R"
"M0109_2549","","",""
"M0109_2553","","FIF","R"
"M0109_2556","","SPF","R"
"M0109_2558","","FIF,SPF","H"
"M0109_2561","","","X"
"M0110_2549","","",""
"M0110_2553","","FIF","R"
"M0111_2552","","FIF,SPF","R"
"M0111_2553","","FIF","R"
"M0114_2560","","","R"
"M0115_2547","","",""
"M0115_2559","","SPF","R"
"M0115_2560","","","R"
"M0115_2561","RS4","","R"
"M0115_2564","","","H"
"M0116_2555","","FIF,SPF","R"
"M0116_2558","","FIF,SPF","H"
"M0116_2565","","","B"
"M0117_2542","","",""
"M0117_2560","","","R"
"M0118_2542","","",""
"M0118_2550","","","R"
"M0118_2554","","SPF","R"
"M0118_2561","","","R"
"M0118_2565","","","B"
"M0118_2566","","","R"
"M0120_2542","","",""
"M0120_2555","","FIF,SPF","R"
"M0120_2562","","","X"
"M0121_2542","","",""
"M0121_2553","","SPF","R"
"M0121_2563","","","H"
"M0122_2542","","",""
"M0122_2553","","SPF","R"
"M0122_2562","RS4","","R"
"M0122_2563","","","H"
"M0123_2542","","",""
"M0123_2562","RS4","","R"
"M0124_2562","RS4","","R"
"M0125_2558","","SPF","H"
"M0125_2559","","SPF","R"
"M0126_2565","","","B"
"M0127_2549","","",""
"M0127_2552","","FIF,SPF","R"
"M0127_2555","","CPF","R"
"M0127_2556","","CPF","R"
"M0127_2558","","FIF,SPF","H"
"M0128_2545","","S0",""
"M0128_2556","","SPF","R"
"M0128_2557","","CPF,SPF","R"
"M0128_2558","","SPF","H"
"M0129_2550","","","R"
"M0129_2554","","SPF","R"
"M0129_2555","","SPF","R"
"M0129_2556","","SPF","R"
"M0129_2557","","SPF","R"
"M0129_2565","","","B"
"M0129_2566","","","R"
"M0130_2545","","","N"
"M0130_2554","","SPF","R"
"M0130_2556","","FIF,SPF","R"
"M0130_2557","","FIF,SPF","H"
"M0130_2560","","","R"
"M0130_2565","","","B"
"M0131_2545","","",""
"M0131_2552","","FIF,SPF","R"
"M0131_2557","","FIF,SPF","H"
"M0131_2562","","FED,SSF","R"
"M0132_2560","","","R"
"M0133_2551","","FIF,SPF","R"
"M0133_2560","","","R"
"M0134_2545","","","N"
"M0134_2562","RS4","","R"
"M0135_2542","","",""
"M0135_2545","","","N"
"M0135_2561","RS4","","R"
"M0135_2562","RS4","","R"
"M0136_2562","RS4","","R"
"M0137_2555","","FIF,SPF","R"
"M0137_2559","","SPF","R"
"M0138_2559","","SPF","H"
"M0139_2561","RS4","","R"
"M0140_2549","","",""
"M0140_2552","","FIF,SPF","R"
"M0140_2558","","SE","R"
"M0140_2563","","","H"
"M0141_2552","","FIF,SPF","R"
"M0141_2558","","SPF","R"
"M0141_2564","","","H"
"M0141_2566","","","R"
"M0142_2556","","CPF","R"
"M0143_2558","","SPF","H"
"M0143_2566","","","R"
"M0144_2549","","","R"
"M0144_2554","","SPF","R"
"M0144_2558","","SPF","H"
"M0144_2564","","FED","X"
"M0145_2549","","ETF,IND","R"
"M0145_2554","","SPF","R"
"M0145_2563","","","H"
"M0147_2551","","FIF,SPF","R"
"M0147_2557","","SPF","R"
"M0147_2564","","FED","X"
"M0148_2565","","","B"
"M0149_2555","","CPF","R"
"M0149_2557","","CPF,SPF","R"
"M0150_2555","","SPF","R"
"M0150_2557","","SPF","R"
"M0150_2560","","","R"
"M0151_2557","","FIF,SPF","H"
"M0151_2560","","","R"
"M0152_2554","","SPF","R"
"M0152_2560","","","R"
"M0153_2557","","FIF","R"
"M0153_2559","","SPF","R"
"M0153_2561","RS4","","R"
"M0154_2541","","","R"
"M0154_2552","","FIF,SPF","R"
"M0154_2559","","SPF","H"
"M0155_2552","","FIF,SPF","R"
"M0155_2553","","FIF","R"
"M0156_2553","","FIF,SPF","R"
"M0156_2562","RS4","","R"
"M0156_2563","","","H"
"M0156_2565","","","B"
"M0157_2555","","FIF,SPF","R"
"M0157_2562","RS4","","R"
"M0158_2562","RS4","","R"
"M0159_2549","","SSF","R"
"M0159_2551","","FIF,SPF","R"
"M0159_2555","","FED,SSF","R"
"M0160_2551","","FIF,SPF","R"
"M0161_2556","","FIF,SPF","R"
"M0161_2557","","FIF,SPF","H"
"M0161_2561","RS4","","R"
"M0161_2563","","SSF","R"
"M0162_2556","","FIF,SPF","R"
"M0162_2558","","FIF,SPF","H"
"M0162_2561","RS4","","R"
"M0163_2565","","","B"
"M0164_2557","","FIF","R"
"M0164_2559","","SPF","H"
"M0165_2559","","SPF","R"
"M0165_2565","","","B"
"M0166_2552","","SPF","R"
"M0166_2554","","FIF,SPF","R"
"M0166_2564","","","H"
"M0168_2554","","FIF","R"
"M0168_2558","","SPF","R"
"M0169_2558","","SPF","H"
"M0169_2560","","","R"
"M0169_2566","","","R"
"M0170_2556","","SPF","R"
"M0170_2558","","SPF","H"
"M0170_2560","","","R"
"M0171_2551","","FIF,SPF","R"
"M0171_2555","","SPF","R"
"M0171_2556","","SPF","R"
"M0171_2557","","FIF,SPF","R"
"M0171_2561","RS4","","R"
"M0172_2555","","FIF,SPF","R"
"M0172_2561","RS4","","R"
"M0173_2555","","CPF","R"
"M0173_2556","","FIF","R"
"M0173_2562","RS4","","R"
"M0174_2551","","FIF,SPF","R"
"M0174_2562","RS4","","R"
"M0174_2566","","","R"
"M0175_2549","","","R"
"M0175_2562","RS4","","R"
"M0176_2551","","FIF,SPF","R"
"M0176_2554","","SPF","R"
"M0177_2542","","",""
"M0177_2554","","SPF","R"
