,proj_id,risk_spectrum,spec_code,amc,name_th,proj_retail_type
0,M0045_2565,6,"FED,RMF",C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
1,M0054_2560,4,SSF,C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
2,M0061_2544,6,RMF,C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
3,M0062_2544,5,RMF,C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
4,M0063_2544,4,RMF,C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
5,M0064_2544,3,RMF,C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
6,M0065_2544,4,RMF,C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
7,M0131_2562,6,"FED,SSF",C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
8,M0159_2549,6,SSF,C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
9,M0159_2555,6,"FED,SSF",C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
10,M0161_2563,6,SSF,C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
11,M0192_2559,6,"FED,RMF",C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
12,M0217_2558,5,"FED,SSF",C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
13,M0377_2556,4,SSF,C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
14,M0405_2549,6,RMF,C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
15,M0410_2558,6,"FED,RMF",C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
16,M0433_2558,6,RMF,C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
17,M0468_2563,6,"FED,RMF",C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
18,M0470_2563,6,"FED,RMF",C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
19,M0511_2565,6,"FED,SSF",C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
20,M0512_2563,6,"FED,RMF",C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
21,M0527_2560,6,RMF,C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
22,M0529_2563,5,"FF,RMF",C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
23,M0545_2563,5,"CIV,FF,RMF",C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
24,M0552_2565,5,"FED,RMF",C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
25,M0573_2566,5,"FF,RMF",C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
26,M0579_2552,6,"FED,SSF",C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
27,M0580_2566,6,"FED,RMF",C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
28,M0596_2562,8,RMF,C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
29,M0596_2566,6,"FF,RMF",C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
30,M0599_2566,7,"FED,RMF,SE",C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
31,M0608_2557,6,"FED,RMF",C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
32,M0679_2557,6,"FED,RMF",C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
33,M0714_2552,8,"FED,RMF",C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
34,M0738_2556,6,"IND,RMF",C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
35,M0861_2553,5,"FED,RMF",C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,R
