"proj_id","risk_spectrum","spec_code","proj_retail_type"
"M0001_2538","","",""
"M0001_2545","","",""
"M0001_2549","","","R"
"M0001_2559","","","A"
"M0002_2540","","",""
"M0002_2549","RS3","","R"
"M0002_2555","","","R"
"M0002_2559","","","A"
"M0002_2563","","","R"
"M0003_2539","","","R"
"M0003_2542","","",""
"M0003_2550","","",""
"M0003_2554","","SPF","R"
"M0003_2562","RS4","","R"
"M0003_2566","","","B"
"M0004_2532","","CF",""
"M0004_2536","","","R"
"M0004_2537","","","R"
"M0004_2561","","","R"
"M0004_2562","RS4","","R"
"M0004_2564","","FED","R"
"M0004_2566","","","B"
"M0005_2536","","","R"
"M0005_2537","","","R"
"M0005_2543","","",""
"M0005_2556","","FIF,SPF","R"
"M0005_2557","","FIF,SPF","H"
"M0005_2558","","FED,SSF","R"
"M0005_2561","","","R"
"M0005_2562","RS4","","R"
"M0005_2565","","FF,SSF","R"
"M0005_2566","","","B"
"M0006_2537","","",""
"M0006_2538","","",""
"M0006_2539","","","R"
"M0006_2556","","FIF,SPF","R"
"M0006_2558","","SPF","R"
"M0006_2563","","","R"
"M0006_2565","","","B"
"M0007_2536","","","R"
"M0007_2538","","","R"
"M0007_2549","","",""
"M0007_2556","","FIF,SPF","R"
"M0007_2558","","SPF","R"
"M0007_2560","","","A"
"M0008_2535","","","R"
"M0008_2536","","","R"
"M0008_2555","","SPF","R"
"M0008_2556","","FIF,SPF","R"
"M0008_2558","","SPF","A"
"M0008_2560","","","R"
"M0009_2535","","","R"
"M0009_2536","","","R"
"M0009_2538","","",""
"M0009_2549","","",""
"M0009_2555","","SPF","R"
"M0009_2560","","","R"
"M0010_2535","","",""
"M0010_2536","","","R"
"M0010_2553","","SPF","R"
"M0010_2556","","FIF,SPF","R"
"M0010_2558","","FIF,SPF","H"
"M0010_2560","","","H"
"M0011_2536","","","R"
"M0011_2538","","",""
"M0011_2554","","SPF","R"
"M0011_2556","","FIF,SPF","R"
"M0011_2558","","FIF,SPF","H"
"M0011_2560","","","H"
"M0011_2564","","","B"
"M0012_2554","","SPF","R"
"M0012_2556","","FIF,SPF","R"
"M0012_2558","","CPF,SPF","R"
"M0013_2538","","",""
"M0013_2556","","FIF,SPF","R"
"M0013_2561","","","R"
"M0014_2538","","",""
"M0015_2538","","",""
"M0015_2549","RS3","","R"
"M0015_2556","","SPF","R"
"M0015_2561","RS4","","A"
"M0015_2564","","FED","R"
"M0016_2538","","",""
"M0016_2539","","",""
"M0016_2553","","","R"
"M0016_2555","","","R"
"M0017_2543","","",""
