"proj_id","risk_spectrum","spec_code"
"M0002_2545","","MM"
"M0003_2537","",""
"M0004_2559","","FED"
"M0009_2540","","MM"
"M0012_2553","RS4",""
"M0013_2536","",""
"M0013_2563","","FED"
"M0014_2535","",""
"M0014_2556","",""
"M0018_2564","","FED,SE"
"M0021_2541","",""
"M0024_2535","",""
"M0031_2564","","FED"
"M0032_2543","",""
"M0033_2567","","CRF"
"M0034_2564","","FED,RMF"
"M0038_2564","","FED,SSF"
"M0040_2567","","CRF"
"M0041_2543","","IND"
"M0044_2551","","MM"
"M0044_2564","","FF"
"M0050_2564","","FF"
"M0052_2558","","FED"
"M0056_2545","","RMF"
"M0056_2567","","CRF"
"M0057_2556","",""
"M0065_2560","",""
"M0065_2563","","FED"
"M0070_2567","","CRF"
"M0071_2544","","RMF"
"M0075_2562","",""
"M0078_2545","","MM,RMF"
"M0081_2559","",""
"M0084_2564","",""
"M0088_2563","","FED"
"M0090_2559","","FED"
"M0100_2547","","IND"
"M0100_2560","","FED"
"M0117_2561","","FED"
"M0119_2564","",""
"M0120_2565","","FF,RMF"
"M0125_2556","",""
"M0133_2558","","FED"
"M0133_2563","","SSF"
"M0135_2554","","FED"
"M0139_2555","",""
"M0140_2555","",""
"M0140_2564","","FED,RMF"
"M0141_2555","",""
"M0141_2557","",""
"M0147_2561","",""
"M0154_2560","",""
"M0165_2542","",""
"M0165_2550","","FF"
"M0175_2557","","FED"
"M0182_2559","","FED"
"M0187_2566","","CRF"
"M0189_2564","","FF"
"M0191_2565","","FED"
"M0193_2559","",""
"M0197_2564","","FF"
"M0198_2564","","FF"
"M0199_2564","","FF"
"M0200_2564","","FF"
"M0201_2563","","FED,SSF"
"M0201_2564","","FF"
"M0209_2560","","FED"
"M0221_2549","","FF"
"M0221_2554","","RMF"
"M0221_2557","","FF"
"M0222_2554","","RMF"
"M0223_2563","","FED,SE"
"M0225_2566","","CRF"
"M0227_2562","","IND"
"M0253_2557","","FED,RMF"
"M0253_2561","","SE"
"M0254_2564","","FED"
"M0258_2559","","FED,RMF"
"M0264_2559","",""
"M0266_2564","",""
"M0267_2550","","FED"
"M0267_2564","","FED"
"M0277_2562","","FED"
"M0282_2561","RS4",""
"M0284_2561","",""
"M0284_2564","","FED"
"M0288_2566","","CRF"
"M0292_2562","","IND,RMF"
"M0296_2553","","FED"
"M0305_2563","","FED,FF,SE"
"M0307_2559","","FED,SSF"
"M0309_2566","","FED"
"M0318_2550","","FED"
"M0320_2550","","FED"
"M0322_2550","","FED"
"M0322_2563","","FED"
"M0323_2564","","FED"
"M0324_2564","","FED"
