"nav_date","net_asset","last_val","sell_price","buy_price","sell_swap_price","buy_swap_price"
"2021-07-22","329747428.65","9.9998","0.0","0.0","0.0","0.0"
"2021-07-23","329625546.99","9.9961","0.0","0.0","0.0","0.0"
"2021-07-27","329104279.95","9.9803","0.0","0.0","0.0","0.0"
"2021-07-29","328408013.12","9.9592","0.0","0.0","0.0","0.0"
"2021-07-30","328393788.47","9.9588","0.0","0.0","0.0","0.0"
"2021-08-02","328613240.54","9.9654","10.0652","9.9654","9.9654","10.0652"
"2021-08-03","329023734.29","9.9747","10.0745","9.9747","9.9747","10.0745"
"2021-08-04","330391954.74","9.9856","10.0856","9.9856","9.9856","10.0856"
"2021-08-05","332326290.79","9.9835","10.0834","9.9835","9.9835","10.0834"
"2021-08-06","332201596.12","9.9786","10.0785","9.9786","9.9786","10.0785"
"2021-08-09","332032393.09","9.9727","10.0725","9.9727","9.9727","10.0725"
"2021-08-10","381604014.69","9.974","10.0738","9.974","9.974","10.0738"
"2021-08-11","381719307.53","9.9772","10.0771","9.9772","9.9772","10.0771"
"2021-08-13","382286089.88","9.9865","10.0865","9.9865","9.9865","10.0865"
"2021-08-16","382656454.4","9.9963","10.0964","9.9963","9.9963","10.0964"
"2021-08-17","382508173.22","9.9923","10.0923","9.9923","9.9923","10.0923"
"2021-08-18","382637964.1","9.995","10.0951","9.995","9.995","10.0951"
"2021-08-19","382571822.78","9.9934","10.0934","9.9934","9.9934","10.0934"
"2021-08-20","382751203.27","9.9981","10.0982","9.9981","9.9981","10.0982"
"2021-08-23","382473419.42","9.9907","10.0907","9.9907","9.9907","10.0907"
"2021-08-24","382456476.03","9.9908","10.0908","9.9908","9.9908","10.0908"
"2021-08-25","382409767.14","9.9895","10.0895","9.9895","9.9895","10.0895"
"2021-08-26","382605935.08","9.9946","10.0946","9.9946","9.9946","10.0946"
"2021-08-27","382713727.44","9.9974","10.0975","9.9974","9.9974","10.0975"
"2021-08-30","381014677.27","10.0047","10.1048","10.0047","10.0047","10.1048"
"2021-08-31","380946051.97","10.0095","10.1097","10.0095","10.0095","10.1097"
"2021-09-01","380971633.22","10.0118","10.112","10.0118","10.0118","10.112"
"2021-09-02","380951007.49","10.0123","10.1125","10.0123","10.0123","10.1125"
"2021-09-03","380961524.94","10.0125","10.1127","10.0125","10.0125","10.1127"
"2021-09-06","380863050.09","10.0098","0.0","0.0","0.0","0.0"
"2021-09-07","380847585.57","10.0094","10.1096","10.0094","10.0094","10.1096"
"2021-09-08","381001862.54","10.0142","10.1144","10.0142","10.0142","10.1144"
"2021-09-09","381194948.3","10.0192","10.1195","10.0192","10.0192","10.1195"
"2021-09-10","381394252.91","10.0249","10.1253","10.0249","10.0249","10.1253"
"2021-09-13","391666313.34","10.0297","10.1301","10.0297","10.0297","10.1301"
"2021-09-14","391547314.94","10.0329","10.1333","10.0329","10.0329","10.1333"
"2021-09-15","391624816.29","10.0348","10.1352","10.0348","10.0348","10.1352"
"2021-09-16","391372616.71","10.0284","10.1288","10.0284","10.0284","10.1288"
"2021-09-17","391205273.09","10.0255","10.1259","10.0255","10.0255","10.1259"
"2021-09-20","390278978.64","10.0043","10.1044","10.0043","10.0043","10.1044"
"2021-09-21","360243419.13","10.0007","10.1008","10.0007","10.0007","10.1008"
"2021-09-22","360241852.89","10.0007","0.0","0.0","0.0","0.0"
"2021-09-23","360313730.07","10.0027","10.1028","10.0027","10.0027","10.1028"
"2021-09-27","365024968.44","9.996","10.0961","9.996","9.996","10.0961"
"2021-09-28","365061465.36","9.997","10.0971","9.997","9.997","10.0971"
