,proj_id,risk_spectrum,spec_code,amc,name_th,proj_retail_type,cancel_date,fund_status,proj_abbr_name,proj_name_en
0,M0004_2564,5,FED,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R,-,RG,SCBAA,SCB Active Allocation Fund
1,M0015_2564,6,FED,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R,-,RG,SCBAO,SCB Asia Opportunity Fund
2,M0024_2560,6,FED,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R,-,RG,SCBUSHY,SCB US Short Duration High Income Bond
3,M0026_2539,6,IND,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R,-,RG,SCBSETFUND,SCB SET INDEX FUND   
4,M0026_2551,6,FED,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R,-,RG,SCBAEMFUND,SCB ASIAN EMERGING MARKETS OPEN END FUND    
5,M0031_2557,6,FED,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R,-,RG,SCBEUEQFUND,SCB EUROPEAN EQUITY FUND
6,M0061_2561,5,FED,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R,-,RG,SCBFIN,SCB Global Fixed Income Fund
7,M0065_2558,6,FED,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R,-,RG,SCBINDIAFUND,SCB INDIA EQUITY FUND
8,M0079_2564,6,FED,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R,-,RG,SCBCHIN,SCB Active All China Equity Fund
9,M0081_2567,3,CRF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R,-,SE,SCBCP6M36,SCB Capital Protection 6M36
10,M0086_2559,6,SPF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R,-,RG,SCBST555B,SCB SMART TRADE 555 FUND B
11,M0088_2567,3,CRF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R,-,SE,SCBCP3M51,SCB Capital Protection 3M51
12,M0090_2567,3,CRF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R,-,SE,SCBCP1Y11,SCB Capital Protection 1Y11
13,M0094_2561,5,FED,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R,-,RG,SCBOPP,SCB Credit Opportunities Fund
14,M0124_2561,6,FED,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R,-,RG,SCBCHEQ,SCB All China Equity Fund
15,M0141_2559,6,FED,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R,-,RG,SCBEUSMFUND,SCB European Small Cap Equity Fund
16,M0142_2561,6,FF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R,-,RG,SCBJPSM,SCB Japan Small Cap Equity Fund
17,M0151_2564,5,FF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R,-,RG,SCBGTTG2,SCB Global Thematic Trigger 2 Fund
18,M0155_2556,6,FED,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R,-,RG,SCBCEHFUND,SCB CHINA EQUITY THB HEDGE
19,M0191_2550,6,LTF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R,-,RG,SCBLTS,SCB SMART LONG TERM EQUITY FUND
20,M0205_2566,3,CRF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R,-,RG,SCBCP1Y5,SCB Capital Protection 1Y5
21,M0206_2566,3,CRF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R,-,RG,SCBCP1Y6,SCB Capital Protection 1Y6
