"nav_date","net_asset","last_val","sell_price","buy_price","sell_swap_price","buy_swap_price"
"2019-09-11","1601128.63","10.0774","0.0","0.0","0.0","0.0"
"2019-09-12","1605046.74","10.1021","0.0","0.0","0.0","0.0"
"2019-09-13","1603612.65","10.093","0.0","0.0","0.0","0.0"
"2019-09-16","1597062.86","10.0518","0.0","0.0","0.0","0.0"
"2019-09-17","1600964.67","10.0764","10.0765","10.0764","10.0765","10.0764"
"2019-09-18","1641484.78","10.0826","10.0827","10.0826","10.0827","10.0826"
"2019-09-19","1668392.76","10.0628","10.0629","10.0628","10.0629","10.0628"
"2019-09-20","2985700.39","10.0087","10.0088","10.0087","10.0088","10.0087"
"2019-09-23","3382630.88","10.0047","10.0048","10.0047","10.0048","10.0047"
"2019-09-24","3452736.11","9.9288","9.9289","9.9288","9.9289","9.9288"
"2019-09-25","3553879.78","9.9841","9.9842","9.9841","9.9842","9.9841"
"2019-09-26","3608539.42","9.9651","9.9652","9.9651","9.9652","9.9651"
"2019-09-30","3913236.51","9.9513","9.9514","9.9513","9.9514","9.9513"
"2019-10-01","3981204.7","9.8368","9.8369","9.8368","9.8369","9.8368"
"2019-10-02","3952077.65","9.6642","9.6643","9.6642","9.6643","9.6642"
"2019-10-03","4343326.92","9.7478","9.7479","9.7478","9.7479","9.7478"
"2019-10-04","5015026.21","9.8742","9.8743","9.8742","9.8743","9.8742"
"2019-10-07","4988547.47","9.8347","9.8348","9.8347","9.8348","9.8347"
"2019-10-08","4204697.36","9.6847","9.6848","9.6847","9.6848","9.6847"
"2019-10-09","4257291.21","9.7733","9.7734","9.7733","9.7734","9.7733"
"2019-10-10","4506158.65","9.836","9.8361","9.836","9.8361","9.836"
"2019-10-11","4627155.65","9.9343","9.9344","9.9343","9.9344","9.9343"
"2019-10-15","4820385.33","10.0169","10.017","10.0169","10.017","10.0169"
"2019-10-16","5167223.61","10.001","10.0011","10.001","10.0011","10.001"
"2019-10-17","5507250.84","10.0265","10.0266","10.0265","10.0266","10.0265"
"2019-10-18","5602543.93","9.9861","9.9862","9.9861","9.9862","9.9861"
"2019-10-21","5704762.71","10.0505","10.0506","10.0505","10.0506","10.0505"
"2019-10-22","5858265.41","10.0188","10.0189","10.0188","10.0189","10.0188"
"2019-10-31","7127863.79","10.1563","10.1564","10.1563","10.1564","10.1563"
"2019-11-06","7826872.35","10.2762","10.2763","10.2762","10.2763","10.2762"
"2019-11-07","7924719.55","10.312","10.3121","10.312","10.3121","10.312"
"2019-11-18","9968916.15","10.4302","10.4303","10.4302","10.4303","10.4302"
"2019-11-21","9652487.92","10.3717","10.3718","10.3717","10.3718","10.3717"
"2019-11-25","10233726.27","10.4723","10.4724","10.4723","10.4724","10.4723"
"2019-11-28","11934509.26","10.5386","0.0","0.0","0.0","0.0"
"2019-11-29","11890087.98","10.4994","10.4995","10.4994","10.4995","10.4994"
"2019-12-02","11978711.04","10.4106","10.4107","10.4106","10.4107","10.4106"
"2019-12-03","12477603.25","10.3446","10.3447","10.3446","10.3447","10.3446"
"2019-12-04","13036703.27","10.4062","10.4063","10.4062","10.4063","10.4062"
"2019-12-06","13921155.6","10.5171","10.5172","10.5171","10.5172","10.5171"
"2019-12-09","14684187.92","10.4832","10.4833","10.4832","10.4833","10.4832"
"2019-12-12","15473882.46","10.5869","10.587","10.5869","10.587","10.5869"
"2019-12-13","15864780.19","10.5938","10.5939","10.5938","10.5939","10.5938"
"2019-12-17","19584774.86","10.663","10.6631","10.663","10.6631","10.663"
"2019-12-18","19971309.61","10.6633","10.6634","10.6633","10.6634","10.6633"
"2019-12-19","19580697.68","10.7051","10.7052","10.7051","10.7052","10.7051"
"2019-12-20","20217274.7","10.7477","10.7478","10.7477","10.7478","10.7477"
"2019-12-23","20867681.58","10.7619","10.762","10.7619","10.762","10.7619"
"2019-12-24","21965215.54","10.7616","10.7617","10.7616","10.7617","10.7616"
"2019-12-25","25290906.12","10.7612","0.0","0.0","0.0","0.0"
"2019-12-26","25431678.01","10.8211","10.8212","10.8211","10.8212","10.8211"
"2019-12-27","31223923.54","10.8111","10.8112","10.8111","10.8112","10.8111"
"2019-12-30","35730766.39","10.7454","10.7455","10.7454","10.7455","10.7454"
"2020-01-02","40191627.18","10.8679","10.868","10.8679","10.868","10.8679"
"2020-01-03","40805929.53","10.79","10.7901","10.79","10.7901","10.79"
"2020-01-06","40867652.6","10.8261","10.8262","10.8261","10.8262","10.8261"
"2020-01-09","38134853.96","10.9226","10.9227","10.9226","10.9227","10.9226"
"2020-01-10","39223652.51","10.8918","10.8919","10.8918","10.8919","10.8918"
"2020-01-13","41853737.01","10.9586","10.9587","10.9586","10.9587","10.9586"
"2020-01-14","42325595.48","10.943","10.9431","10.943","10.9431","10.943"
"2020-01-16","44311253.81","11.0549","11.055","11.0549","11.055","11.0549"
"2020-01-17","44792486.89","11.0891","11.0892","11.0891","11.0892","11.0891"
"2020-01-20","46260065.81","11.087","0.0","0.0","0.0","0.0"
