"nav_date","net_asset","last_val","sell_price","buy_price","sell_swap_price","buy_swap_price"
"2002-02-15","11420293.62","9.9993","0.0","0.0","0.0","0.0"
"2002-02-18","11420293.62","9.9993","0.0","0.0","0.0","0.0"
"2002-02-19","11420293.62","9.9993","0.0","0.0","0.0","0.0"
"2002-02-20","11420293.62","9.9993","0.0","0.0","0.0","0.0"
"2002-02-21","11420293.62","9.9993","0.0","0.0","0.0","0.0"
"2002-02-22","12277563.77","9.9995","0.0","0.0","0.0","0.0"
"2002-02-25","12277563.77","9.9995","0.0","0.0","0.0","0.0"
"2002-02-27","12277563.77","9.9995","0.0","0.0","0.0","0.0"
"2002-02-28","12277563.77","9.9995","0.0","0.0","0.0","0.0"
"2002-03-01","13255820.75","10.0007","0.0","0.0","0.0","0.0"
"2002-03-04","13255820.75","10.0007","0.0","0.0","0.0","0.0"
"2002-03-05","13255820.75","10.0007","0.0","0.0","0.0","0.0"
"2002-03-06","13255820.75","10.0007","0.0","0.0","0.0","0.0"
"2002-03-07","13255820.75","10.0007","0.0","0.0","0.0","0.0"
"2002-03-08","13860462.03","10.0019","0.0","0.0","0.0","0.0"
"2002-03-11","13860462.03","10.0019","0.0","0.0","0.0","0.0"
"2002-03-12","13860462.03","10.0019","0.0","0.0","0.0","0.0"
"2002-03-13","13860462.03","10.0019","0.0","0.0","0.0","0.0"
"2002-03-14","13860462.03","10.0019","0.0","0.0","0.0","0.0"
"2002-03-15","14639654.66","10.0027","0.0","0.0","0.0","0.0"
"2002-03-18","14639654.66","10.0027","0.0","0.0","0.0","0.0"
"2002-03-19","14639654.66","10.0027","0.0","0.0","0.0","0.0"
"2002-03-20","14639654.66","10.0027","0.0","0.0","0.0","0.0"
"2002-03-21","14639654.66","10.0027","0.0","0.0","0.0","0.0"
"2002-03-22","14937544.51","10.004","0.0","0.0","0.0","0.0"
"2002-03-25","14937544.51","10.004","0.0","0.0","0.0","0.0"
"2002-03-26","14937544.51","10.004","0.0","0.0","0.0","0.0"
"2002-03-27","14937544.51","10.004","0.0","0.0","0.0","0.0"
"2002-03-28","14937544.51","10.004","0.0","0.0","0.0","0.0"
"2002-03-29","15248138.42","10.0051","0.0","0.0","0.0","0.0"
"2002-04-01","15248138.42","10.0051","0.0","0.0","0.0","0.0"
"2002-04-02","15248138.42","10.0051","0.0","0.0","0.0","0.0"
"2002-04-03","15248138.42","10.0051","0.0","0.0","0.0","0.0"
