"nav_date","net_asset","last_val","sell_price","buy_price","sell_swap_price","buy_swap_price"
"2012-09-19","1370560.42","9.9895","0.0","0.0","0.0","0.0"
"2012-09-20","1365600.39","9.9533","0.0","0.0","0.0","0.0"
"2012-09-21","1367969.32","9.9706","0.0","0.0","0.0","0.0"
"2012-09-24","1364812.37","9.9476","9.9477","9.9476","9.9477","9.9476"
"2012-09-25","1361771.75","9.9254","9.9255","9.9254","9.9255","9.9254"
"2012-09-26","1421285.8","9.8527","9.8528","9.8527","9.8528","9.8527"
"2012-09-28","1505356.02","9.86","9.8601","9.86","9.8601","9.86"
"2012-10-01","1515913.01","9.8963","9.8964","9.8963","9.8964","9.8963"
"2012-10-02","1735422.02","9.9221","9.9222","9.9221","9.9222","9.9221"
"2012-10-04","1773701.52","9.9387","9.9388","9.9387","9.9388","9.9387"
"2012-10-05","1823835.19","9.9668","9.9669","9.9668","9.9669","9.9668"
"2012-10-09","1811164.13","9.8435","9.8436","9.8435","9.8436","9.8435"
"2012-10-10","1818604.44","9.8028","9.8029","9.8028","9.8029","9.8028"
"2012-10-11","1842858.65","9.8523","9.8524","9.8523","9.8524","9.8523"
"2012-10-12","1873966.38","9.8319","9.832","9.8319","9.832","0.0"
"2012-10-15","1887780.38","9.8518","9.8519","9.8518","9.8519","0.0"
"2012-10-16","2093808.94","9.923","9.9231","9.923","9.9231","0.0"
"2012-10-18","2655292.54","9.9855","9.9856","9.9855","9.9856","0.0"
"2012-10-19","2639603.41","9.9079","9.908","9.9079","9.908","0.0"
"2012-10-22","2644276.53","9.8954","9.8955","9.8954","9.8955","0.0"
"2012-10-25","2659742.9","9.7971","9.7972","9.7971","9.7972","0.0"
"2012-10-26","2678550.57","9.7673","9.7674","9.7673","9.7674","0.0"
"2012-11-02","2768879.1","9.827","9.8271","9.827","9.8271","0.0"
"2012-11-06","2841433.56","9.8567","9.8568","9.8567","9.8568","0.0"
"2012-11-07","3081133.92","9.792","9.7921","9.792","9.7921","0.0"
"2012-11-08","3077350.68","9.7169","9.717","9.7169","9.717","0.0"
"2012-11-09","3178137.9","9.6889","9.689","9.6889","9.689","0.0"
"2012-11-13","3163464.94","9.6441","9.6442","9.6441","9.6442","0.0"
"2012-11-15","3329003.11","9.5428","9.5429","9.5428","9.5429","0.0"
"2012-11-16","3333577.63","9.5273","9.5274","9.5273","9.5274","0.0"
