"nav_date","net_asset","last_val","sell_price","buy_price","sell_swap_price","buy_swap_price"
"2019-09-11","19163387.3","9.9669","0.0","0.0","0.0","0.0"
"2019-09-12","19079568.61","9.9233","0.0","0.0","0.0","0.0"
"2019-09-13","19179827.62","9.9754","0.0","0.0","0.0","0.0"
"2019-09-16","19205314.98","9.9887","0.0","0.0","0.0","0.0"
"2019-09-17","19245506.54","10.0096","10.0097","10.0096","10.0097","10.0096"
"2019-09-18","21084781.9","10.0862","10.0863","10.0862","10.0863","10.0862"
"2019-09-19","25138025.31","10.145","10.1451","10.145","10.1451","10.145"
"2019-09-20","34779845.89","10.1338","10.1339","10.1338","10.1339","10.1338"
"2019-09-23","38039095.94","10.0795","10.0796","10.0795","10.0796","10.0795"
"2019-09-24","40938484.54","10.1374","10.1375","10.1374","10.1375","10.1374"
"2019-09-25","43516739.36","10.1921","10.1922","10.1921","10.1922","10.1921"
"2019-09-26","46387555.76","10.1497","10.1498","10.1497","10.1498","10.1497"
"2019-09-27","48026437.88","10.0746","10.0747","10.0746","10.0747","10.0746"
"2019-10-01","49773014.39","10.0798","10.0799","10.0798","10.0799","10.0798"
"2019-10-02","50410274.61","10.0395","10.0396","10.0395","10.0396","10.0395"
"2019-10-03","51726518.83","10.0654","10.0655","10.0654","10.0655","10.0654"
"2019-10-04","53456087.76","10.0637","10.0638","10.0637","10.0638","10.0637"
"2019-10-07","54202185.63","10.0856","10.0857","10.0856","10.0857","10.0856"
"2019-10-08","55273352.64","10.1495","10.1496","10.1495","10.1496","10.1495"
"2019-10-09","56315285.17","10.1648","10.1649","10.1648","10.1649","10.1648"
"2019-10-10","56632365.94","10.1611","10.1612","10.1611","10.1612","10.1611"
"2019-10-11","58309597.12","10.1841","10.1842","10.1841","10.1842","10.1841"
"2019-10-15","59903373.77","10.1304","10.1305","10.1304","10.1305","10.1304"
"2019-10-16","60780087.79","10.1312","10.1313","10.1312","10.1313","10.1312"
"2019-10-17","67848631.15","10.1245","10.1246","10.1245","10.1246","10.1245"
"2019-10-18","68171827.87","10.1191","10.1192","10.1191","10.1192","10.1191"
"2019-10-21","69755426.35","10.113","10.1131","10.113","10.1131","10.113"
"2019-10-22","70064768.11","10.0754","10.0755","10.0754","10.0755","10.0754"
"2019-10-24","70378332.99","10.0598","10.0599","10.0598","10.0599","10.0598"
"2019-11-01","77727064.18","10.0232","10.0233","10.0232","10.0233","10.0232"
"2019-11-07","79832217.33","9.9048","9.9049","9.9048","9.9049","9.9048"
"2019-11-08","77658603.35","9.6794","9.6795","9.6794","9.6795","9.6794"
"2019-11-19","87643322.35","9.7187","9.7188","9.7187","9.7188","9.7187"
"2019-11-22","91072626.62","9.7176","9.7177","9.7176","9.7177","9.7176"
"2019-11-26","92450423.37","9.7864","9.7865","9.7864","9.7865","9.7864"
"2019-11-29","94149217.05","9.8041","9.8042","9.8041","9.8042","9.8041"
"2019-12-02","95741338.27","9.796","9.7961","9.796","9.7961","9.796"
"2019-12-03","95392762.31","9.7377","9.7378","9.7377","9.7378","9.7377"
"2019-12-04","96164931.37","9.7379","9.738","9.7379","9.738","9.7379"
"2019-12-06","96655164.48","9.7818","9.7819","9.7818","9.7819","9.7818"
"2019-12-09","96458118.06","9.7089","9.709","9.7089","9.709","9.7089"
"2019-12-11","96323152.75","9.5621","9.5622","9.5621","9.5622","9.5621"
"2019-12-13","94234442.47","9.269","9.2691","9.269","9.2691","9.269"
"2019-12-16","94927475.63","9.2663","9.2664","9.2663","9.2664","9.2663"
"2019-12-18","97598585.87","9.3543","9.3544","9.3543","9.3544","9.3543"
"2019-12-19","99490583.88","9.4189","9.419","9.4189","9.419","9.4189"
"2019-12-20","101117766.58","9.4708","9.4709","9.4708","9.4709","9.4708"
"2019-12-23","103309760.25","9.4797","9.4798","9.4797","9.4798","9.4797"
"2019-12-24","105239989.8","9.5319","9.532","9.5319","9.532","9.5319"
"2019-12-25","107108800.08","9.5538","0.0","0.0","0.0","0.0"
"2019-12-26","107785712.87","9.6142","9.6143","9.6142","9.6143","9.6142"
