"nav_date","net_asset","last_val","sell_price","buy_price","sell_swap_price","buy_swap_price"
"2005-10-12","60358217.64","9.9801","0.0","0.0","0.0","0.0"
"2005-10-13","60119957.99","9.9407","0.0","0.0","0.0","0.0"
"2005-10-14","60054466.7","9.9298","0.0","0.0","0.0","0.0"
"2005-10-17","59655907.13","9.8639","9.864","0.0","0.0","0.0"
"2005-10-18","62148658.86","9.8357","9.8358","0.0","0.0","0.0"
"2005-10-19","64342381.46","9.7469","9.747","0.0","0.0","0.0"
"2005-10-20","66812470.04","9.7329","9.733","0.0","0.0","0.0"
"2005-10-21","69716867.56","9.7682","9.7683","0.0","0.0","0.0"
"2005-10-25","72031033.14","9.7232","9.7233","0.0","0.0","0.0"
"2005-10-26","74791579.82","9.7759","9.776","0.0","0.0","0.0"
"2005-10-27","75632331.76","9.7779","9.778","0.0","0.0","0.0"
"2005-10-28","76689630.29","9.7601","9.7602","0.0","0.0","0.0"
"2005-10-31","78104741.6","9.7656","9.7657","0.0","0.0","0.0"
"2005-11-01","80627096.2","9.8321","9.8322","0.0","0.0","0.0"
"2005-11-02","82106179.64","9.8407","9.8408","0.0","0.0","0.0"
"2005-11-03","83439466.6","9.863","9.8631","0.0","0.0","0.0"
"2005-11-04","85005872.94","9.8806","9.8807","0.0","0.0","0.0"
"2005-11-07","86147158.42","9.8339","9.834","0.0","0.0","0.0"
"2005-11-08","86940624.68","9.785","9.7851","0.0","0.0","0.0"
"2005-11-09","87990444.59","9.8125","9.8126","0.0","0.0","0.0"
"2005-11-10","88343048.46","9.77","9.7701","0.0","0.0","0.0"
"2005-11-11","89310434.93","9.7583","9.7584","0.0","0.0","0.0"
"2005-11-14","90069832.7","9.7352","9.7353","0.0","0.0","0.0"
"2005-11-15","90214376.23","9.6621","9.6622","0.0","0.0","0.0"
"2005-11-16","92284880.83","9.6501","9.6502","0.0","0.0","0.0"
"2005-11-17","95617828.36","9.6308","9.6309","0.0","0.0","0.0"
"2005-11-18","97259692.54","9.6782","9.6783","0.0","0.0","0.0"
"2005-11-21","99128440.01","9.6514","9.6515","0.0","0.0","0.0"
"2005-11-22","102179633.76","9.6547","9.6548","0.0","0.0","0.0"
"2005-11-23","102887507.27","9.6248","9.6249","0.0","0.0","0.0"
"2005-11-24","103472426.68","9.6194","9.6195","0.0","0.0","0.0"
"2005-11-25","103797019.08","9.588","9.5881","0.0","0.0","0.0"
"2005-11-28","104117757.13","9.551","9.5511","0.0","0.0","0.0"
"2005-11-29","105102435.76","9.5523","9.5524","0.0","0.0","0.0"
"2005-11-30","105858781.05","9.5491","9.5492","0.0","0.0","0.0"
"2005-12-01","105247912.19","9.4462","9.4463","0.0","0.0","0.0"
"2005-12-02","105507295.11","9.4443","9.4444","0.0","0.0","0.0"
"2005-12-06","108005795.03","9.5626","9.5627","0.0","0.0","0.0"
"2005-12-07","112403498.97","9.7622","9.7623","0.0","0.0","0.0"
"2005-12-08","113031102.44","9.7267","9.7268","0.0","0.0","0.0"
