"nav_date","net_asset","last_val","sell_price","buy_price","sell_swap_price","buy_swap_price"
"2010-10-21","134867561.04","10.0011","0.0","0.0","0.0","0.0"
"2010-10-22","134822537.21","9.9977","0.0","0.0","0.0","0.0"
"2010-10-26","134801744.63","9.9962","9.9963","9.9962","9.9963","9.9962"
"2010-10-27","140226068.76","9.989","9.9891","9.989","9.9891","9.989"
"2010-10-28","140475036.73","9.9879","9.988","9.9879","9.988","9.9879"
"2010-10-29","140943594.22","9.9904","9.9905","9.9904","9.9905","9.9904"
"2010-11-01","136485471.55","9.9894","9.9895","9.9894","9.9895","9.9894"
"2010-11-02","136759583.76","9.9876","9.9877","9.9876","9.9877","9.9876"
"2010-11-03","136551190.92","9.9891","9.9892","9.9891","9.9892","9.9891"
"2010-11-04","136622282.32","9.9944","9.9945","9.9944","9.9945","9.9944"
"2010-11-08","136815251.41","9.9951","9.9952","9.9951","9.9952","9.9951"
"2010-11-09","136926660.16","9.993","9.9931","9.993","9.9931","9.993"
"2010-11-10","137084914.78","9.9905","9.9906","9.9905","9.9906","9.9905"
"2010-11-11","137514332.94","9.9911","9.9912","9.9911","9.9912","9.9911"
"2010-11-12","137342399.93","9.9887","9.9888","9.9887","9.9888","9.9887"
"2010-11-15","136539451.23","9.9914","9.9915","9.9914","9.9915","9.9914"
"2010-11-16","135543122.03","9.9831","9.9832","9.9831","9.9832","9.9831"
"2010-11-17","135705220.44","9.9822","9.9823","9.9822","9.9823","9.9822"
"2010-11-18","135231223.87","9.9836","9.9837","9.9836","9.9837","9.9836"
"2010-11-19","135386370.84","9.9875","9.9876","9.9875","9.9876","9.9875"
"2010-11-22","135490886.61","9.9911","9.9912","9.9911","9.9912","9.9911"
"2010-11-23","135115043.38","9.9914","9.9915","9.9914","9.9915","9.9914"
"2010-11-24","134905297.91","9.9913","9.9914","9.9913","9.9914","9.9913"
"2010-11-25","134781539.81","9.9915","9.9916","9.9915","9.9916","9.9915"
"2010-11-26","134753096.97","9.9892","9.9893","9.9892","9.9893","9.9892"
"2010-11-29","130597864.43","9.9884","9.9885","9.9884","9.9885","9.9884"
"2010-11-30","130560571.69","9.9909","9.991","9.9909","9.991","9.9909"
"2010-12-01","130379694.66","9.9841","9.9842","9.9841","9.9842","9.9841"
"2010-12-02","133838372.96","9.97","9.9701","9.97","9.9701","9.97"
"2010-12-03","133625454.23","9.9652","9.9653","9.9652","9.9653","9.9652"
"2010-12-07","133300134.71","9.9615","9.9616","9.9615","9.9616","9.9615"
"2010-12-08","132393360.25","9.9449","9.945","9.9449","9.945","9.9449"
"2010-12-09","137390181.66","9.9442","9.9443","9.9442","9.9443","9.9442"
"2010-12-13","137382400.85","9.9402","9.9403","9.9402","9.9403","9.9402"
"2010-12-14","137537458.94","9.937","9.9371","9.937","9.9371","9.937"
"2010-12-15","137584436.45","9.9288","9.9289","9.9288","9.9289","9.9288"
"2010-12-16","137689666.41","9.9224","9.9225","9.9224","9.9225","9.9224"
"2010-12-17","136402759.65","9.9221","9.9222","9.9221","9.9222","9.9221"
"2010-12-20","136447042.31","9.9303","9.9304","9.9303","9.9304","9.9303"
"2010-12-21","136578066.91","9.9368","9.9369","9.9368","9.9369","9.9368"
"2010-12-22","136872959.17","9.9363","9.9364","9.9363","9.9364","9.9363"
"2010-12-23","139490644.8","9.9406","9.9407","9.9406","9.9407","9.9406"
"2010-12-24","140388735.16","9.9424","9.9425","9.9424","9.9425","9.9424"
"2010-12-27","140725475.14","9.9427","9.9428","9.9427","9.9428","9.9427"
"2010-12-28","140852727.52","9.9426","9.9427","9.9426","9.9427","9.9426"
"2010-12-29","139923563.99","9.9442","9.9443","9.9442","9.9443","9.9442"
"2010-12-30","139812792.83","9.9413","9.9414","9.9413","9.9414","9.9413"
"2011-01-04","139909179.87","9.9423","9.9424","9.9423","9.9424","9.9423"
"2011-01-05","139126010.74","9.9453","9.9454","9.9453","9.9454","9.9453"
"2011-01-06","138626179.96","9.9422","9.9423","9.9422","9.9423","9.9422"
"2011-01-07","144058033.0","9.9437","9.9438","9.9437","9.9438","9.9437"
"2011-01-10","142808718.99","9.9403","9.9404","9.9403","9.9404","9.9403"
"2011-01-11","142008268.0","9.938","9.9381","9.938","9.9381","9.938"
"2011-01-12","140922147.27","9.9366","9.9367","9.9366","9.9367","9.9366"
"2011-01-13","140573016.41","9.9392","9.9393","9.9392","9.9393","9.9392"
