"nav_date","net_asset","last_val","sell_price","buy_price","sell_swap_price","buy_swap_price"
"2011-12-23","89498875.63","10.0007","0.0","0.0","0.0","0.0"
"2011-12-26","89501093.51","10.0009","0.0","0.0","0.0","0.0"
"2011-12-27","89505230.21","10.0014","0.0","0.0","0.0","0.0"
"2011-12-28","89519921.54","10.003","10.0031","10.003","10.0031","10.003"
"2011-12-29","89507959.69","10.0017","0.0","0.0","0.0","0.0"
"2011-12-30","88947535.69","9.9391","0.0","0.0","0.0","0.0"
"2012-01-04","89978759.91","10.0543","0.0","0.0","0.0","0.0"
"2012-01-06","89553746.34","10.0105","10.0106","10.0105","10.0106","10.0105"
"2012-01-09","89744113.52","10.0345","10.0346","10.0345","10.0346","10.0345"
"2012-01-11","91068514.67","10.078","10.0781","10.078","10.0781","10.078"
"2012-01-12","91623968.36","10.128","10.1281","10.128","10.1281","10.128"
"2012-01-17","92354457.56","10.1802","10.1803","10.1802","10.1803","10.1802"
"2012-01-18","98612996.47","10.2183","10.2184","10.2183","10.2184","10.2183"
"2012-01-19","99157725.57","10.239","10.2391","10.239","10.2391","10.239"
"2012-01-20","99397258.33","10.2653","10.2654","10.2653","10.2654","10.2653"
"2012-01-26","100705246.38","10.3898","10.3899","10.3898","10.3899","10.3898"
"2012-01-27","108122458.78","10.4248","10.4249","10.4248","10.4249","10.4248"
"2012-01-30","114748745.26","10.4137","10.4138","10.4137","10.4138","10.4137"
"2012-01-31","115139906.53","10.4199","10.42","10.4199","10.42","10.4199"
"2012-02-01","120613974.46","10.4818","10.4819","10.4818","10.4819","10.4818"
"2012-02-02","120495690.29","10.518","10.5181","10.518","10.5181","10.518"
"2012-02-06","126972376.05","10.5568","10.5569","10.5568","10.5569","10.5568"
"2012-02-07","125037509.23","10.5798","10.5799","10.5798","10.5799","10.5798"
"2012-02-08","128769822.17","10.6114","10.6115","10.6114","10.6115","10.6114"
"2012-02-09","131001183.61","10.6095","10.6096","10.6095","10.6096","10.6095"
"2012-02-10","133564683.53","10.5576","10.5577","10.5576","10.5577","10.5576"
"2012-02-13","135227223.29","10.5835","10.5836","10.5835","10.5836","10.5835"
"2012-02-14","138633282.8","10.5927","10.5928","10.5927","10.5928","10.5927"
"2012-02-15","134049937.07","10.6027","10.6028","10.6027","10.6028","10.6027"
"2012-02-16","139233286.14","10.5662","10.5663","10.5662","10.5663","10.5662"
"2012-02-17","140560290.81","10.6157","10.6158","10.6157","10.6158","10.6157"
"2012-02-21","140993071.51","10.6275","10.6276","10.6275","10.6276","10.6275"
"2012-02-22","139019544.98","10.6164","10.6165","10.6164","10.6165","10.6164"
"2012-02-23","142352479.26","10.6257","10.6258","10.6257","10.6258","10.6257"
"2012-02-24","143018982.51","10.679","10.6791","10.679","10.6791","10.679"
"2012-02-27","143396807.0","10.6714","10.6715","10.6714","10.6715","10.6714"
"2012-02-29","140228616.56","10.7289","10.729","10.7289","10.729","10.7289"
"2012-03-01","145103279.28","10.7267","10.7268","10.7267","10.7268","10.7267"
"2012-03-02","144726707.92","10.7147","10.7148","10.7147","10.7148","10.7147"
"2012-03-05","144240118.4","10.6772","10.6773","10.6772","10.6773","10.6772"
"2012-03-06","145751735.56","10.5907","10.5908","10.5907","10.5908","10.5907"
"2012-03-08","150006440.69","10.6576","10.6577","10.6576","10.6577","10.6576"
"2012-03-09","141091111.05","10.6667","10.6668","10.6667","10.6668","10.6667"
"2012-03-12","157380890.42","10.6509","10.651","10.6509","10.651","10.6509"
