"nav_date","net_asset","last_val","sell_price","buy_price","sell_swap_price","buy_swap_price"
"2011-08-26","245774384.37","10.0028","0.0","0.0","0.0","0.0"
"2011-08-29","249470597.79","10.1533","10.1534","10.1533","10.1534","10.1533"
"2011-08-30","267807624.58","10.15","0.0","0.0","0.0","0.0"
"2011-08-31","268783487.26","10.187","10.1871","10.187","10.1871","10.187"
"2011-09-01","280325549.91","10.1455","10.1456","10.1455","10.1456","10.1455"
"2011-09-02","289943793.93","10.3105","10.3106","10.3105","10.3106","10.3105"
"2011-09-05","299006128.64","10.5297","0.0","0.0","0.0","0.0"
"2011-09-06","298690593.72","10.5186","10.5187","10.5186","10.5187","10.5186"
"2011-09-07","289048097.23","10.3264","10.3265","10.3264","10.3265","10.3264"
"2011-09-08","325538557.66","10.2302","10.2303","10.2302","10.2303","10.2302"
"2011-09-09","360669317.48","10.496","10.4961","10.496","10.4961","10.496"
"2011-09-12","358077242.25","10.3458","10.3459","10.3458","10.3459","10.3458"
"2011-09-13","366184956.0","10.1482","10.1483","10.1482","10.1483","10.1482"
"2011-09-14","384754961.58","10.2455","10.2456","10.2455","10.2456","10.2455"
"2011-09-15","411799509.97","10.143","10.1431","10.143","10.1431","10.143"
"2011-09-16","409188619.59","9.9633","9.9634","9.9633","9.9634","9.9633"
"2011-09-19","454586583.06","10.1591","10.1592","10.1591","10.1592","10.1591"
"2011-09-20","447869693.32","10.0159","10.016","10.0159","10.016","10.0159"
"2011-09-21","463475704.22","10.0934","10.0935","10.0934","10.0935","10.0934"
"2011-09-22","455340163.52","9.9152","9.9153","9.9152","9.9153","9.9152"
"2011-09-23","471916856.24","9.7153","9.7154","9.7153","9.7154","9.7153"
"2011-09-26","451478980.41","9.1245","9.1246","9.1245","9.1246","9.1245"
"2011-09-27","458394980.36","9.2478","9.2479","9.2478","9.2479","9.2478"
"2011-09-28","473249408.6","9.261","9.2611","9.261","9.2611","9.261"
"2011-09-29","474226138.26","9.1251","9.1252","9.1251","9.1252","9.1251"
"2011-09-30","473790988.49","9.0723","9.0724","9.0723","9.0724","9.0723"
"2011-10-03","489646503.39","9.2381","9.2382","9.2381","9.2382","9.2381"
"2011-10-04","491303182.81","9.2675","9.2676","9.2675","9.2676","9.2675"
"2011-10-05","478626831.32","8.9435","8.9436","8.9435","8.9436","8.9435"
"2011-10-06","494038347.29","9.1776","9.1777","9.1776","9.1777","9.1776"
"2011-10-07","492835450.13","9.165","9.1651","9.165","9.1651","9.165"
"2011-10-10","498401066.37","9.2329","9.233","9.2329","9.233","9.2329"
"2011-10-11","499645769.12","9.256","9.2561","9.256","9.2561","9.256"
"2011-10-12","505972995.13","9.3132","9.3133","9.3132","9.3133","9.3132"
"2011-10-13","525053592.4","9.3329","9.333","9.3329","9.333","9.3329"
"2011-10-14","528322909.79","9.3374","9.3375","9.3374","9.3375","9.3374"
"2011-10-17","532729805.9","9.3894","9.3895","9.3894","9.3895","9.3894"
"2011-10-18","525713315.7","9.2793","9.2794","9.2793","9.2794","9.2793"
"2011-10-19","519810984.32","9.1791","9.1792","9.1791","9.1792","9.1791"
"2011-10-20","526075140.87","9.1257","9.1258","9.1257","9.1258","9.1257"
"2011-10-21","526709461.24","9.0861","9.0862","9.0861","9.0862","9.0861"
